Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Woman Buttoning Her Shoe (Frau |  Schuh zuknöpfend),(191,Woodcut,null,null,null,Larry Aldrich Fund (by exchange),Print,Prints & Illustrated Books,1955,Y,61476
Red Scare and Chavez Ravine,(199,Lithograph,25.5,144.7,null,The Ralph E. Shikes Fund,Print,Prints & Illustrated Books,1994,Y,61499
Standing Male Nude with Glasses (Stehender männlicher Akt mit Brille),(191,Drypoint,26.7,17.6,null,Gift of Weyhe Gallery,Print,Prints & Illustrated Books,1952,Y,61526
Wrestlers (Die Ringer) from the portfolio New European Graphics |  5th Portfolio: German Artists |  1921 (Neue Europäische Graphik |  5. Mappe: Deutsche Künstler |  1921),(192,Drypoint,20.6,14.7,null,Gift of Weyhe Gallery,Print,Prints & Illustrated Books,1952,Y,61559
Untitled |  plate 3 |  second version |  only state |  from He Disappeared into Complete Silence,(194,Drypoint and engraving,17.1,14.2,null,Gift of the artist,Print,Prints & Illustrated Books,1994,N,61648
Minotaure aveugle guidé par Marie-Thérèse au pigeon dans une nuit étoilée (Blind Minotaur Guided Through a Starry Night by Marie-Thérèse with a Pigeon),Dece,Aquatint |  drypoint |  and engraving,24.1,34.1,null,Abby Aldrich Rockefeller Fund,Print,Prints & Illustrated Books,1949,Y,61664
Cover from the exhibition catalogue (Titelblatt des Ausstellungskatalogs) Grafik E.L. Kirchner,(191,Woodcut,18,14.6,null,Transferred from the Museum Library,Print,Prints & Illustrated Books,1956,Y,61669
Head of a Woman in Profile (Tête de femme |  de profil),Febr,Drypoint,29.1,25,null,Lillie P. Bliss Collection,Print,Prints & Illustrated Books,1934,Y,61712
Moonlight in a Gust of Wind (Un clair de lune dans un coup de vent),(196,Lithograph,null,null,null,John B. Turner Fund,Print,Prints & Illustrated Books,1970,Y,61721
Port of St. Tropez (Port de Saint-Tropez) for the portfolio The Album of Original Prints from The Vollard Gallery (L'Album d'estampes originales de la Galerie Vollard) |  no. III,(189,Lithograph,43.8,33.4,null,Abby Aldrich Rockefeller Fund,Print,Prints & Illustrated Books,1949,N,61740
FIRE,(191,Color etching and aquatint,null,null,null,Purchase,Print,Prints & Illustrated Books,1965,N,61747
Study Sheet: Latin Quarter (Studienblatt: Quartier Latin),(191,Drypoint,23.7,18,null,Gift of Mr. & Mrs. E. Powis Jones Fund,Print,Prints & Illustrated Books,1956,Y,61772
Study of a Nude (Etude de nu),(190,Etching,27.7,19.3,null,Gift of Patrick and Tania Cramer |  in memory of their father Gérald Cramer,Print,Prints & Illustrated Books,1993,Y,61826
THE ADVOCATE,Janu,Lithograph,70.1,20.1,null,Abby Aldrich Rockefeller Fund,Print,Prints & Illustrated Books,1952,N,61848
Faun Musician |  No. 5,(Mar,Lithograph,68.2,51.2,null,Purchase,Print,Prints & Illustrated Books,1952,Y,61862
AUTUMNAL GLORY,(190,Woodcut |  printed in color,65.7,50.8,null,Purchase,Print,Prints & Illustrated Books,1954,N,61863
Untitled,(Dec,Eleven etchings,15.2,12.7,null,Gift of The Keith Haring Foundation,Print,Prints & Illustrated Books,1991,Y,61867
Françoise as the Sun (Françoise en soleil),(Jun,Lithograph,53.9,45.4,null,Acquired through the Lillie P. Bliss Bequest,Print,Prints & Illustrated Books,1952,Y,61875
Grane,(198,Woodcut with paint and collage additions,null,null,null,Purchased with funds given in honor of Riva Castleman by The Committee on Painting and Sculpture |  The Associates Fund |  Molly and Walter Bareiss |  Nelson Blitz |  Jr. with Catherine Woodard and Perri and Allison Blitz |  Agnes Gund |  The Philip and Lynn Straus Foundation |  Howard B. Johnson |  Mr. and Mrs. Herbert D. Schimmel |  and the Riva Castleman Endowment Fund,Print,Prints & Illustrated Books,1995,Y,61992
White Mask on Black Background (Masque blanc sur fond noir),(194,Aquatint,31.7,24.8,null,Purchased with funds given by Harry Kahn |  Susan and Arthur L. Fleischer |  Jr. |  Carol and Bert Freidus |  Johanna and Leslie J. Garfield |  Linda and Bill Goldstein |  Francine E. Lembo |  Barbara and Max Pine |  and Susan and Peter A. Ralston in honor of Riva Castleman,Print,Prints & Illustrated Books,1995,Y,62008
Lithograph II,(193,Lithograph,null,null,null,Gift of Gérald Cramer in honor of Riva Castleman,Print,Prints & Illustrated Books,1991,Y,62047
THE DRYPOINTS OF ELIE NADELMAN,Publ,Portfolio of twenty-two drypoints |  printed in black,null,null,null,Curt Valentin Bequest,Print,Prints & Illustrated Books,1956,N,62059
Lithograph III,(193,Lithograph,null,null,null,Gift of Gérald Cramer in honor of Riva Castleman,Print,Prints & Illustrated Books,1991,Y,62085
Eagle,(Pub,Portfolio of eleven etching |  woodcut |  and wood engravings,null,null,null,Gift of The Cosmopolitan Arts Foundation,Print,Prints & Illustrated Books,1982,N,62113
(Untitled),(193,Lithograph,null,null,null,Abby Aldrich Rockefeller Fund,Print,Prints & Illustrated Books,1965,N,62134
Frau am Fenster (Woman at the Window) (STATE II),Augu,Linoleum cut |  printed in black,69.9,49.3,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1982,N,62157
Frau am Fenster (Woman at the Window) (STATE III),Augu,Linoleum cut |  printed in black,69.9,49.3,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1982,N,62158
Frau am Fenster (Woman at the Window) (State IV),Augu,Linoleum cut,70,49.5,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1982,Y,62159
Frau am Fenster (Woman at the Window) (STATE V),Augu,Linoleum cut |  printed in black,null,null,null,Blanchette Hooker Rockefeller Fund,Print,Prints & Illustrated Books,1982,N,62160
Framed/Exploded/Defaced,(197,Twenty-five aquatints,each appro,|  fram,null,Gift of Crown Point Press in celebration of its 25th anniversary,Print,Prints & Illustrated Books,1987,Y,62187
