Artist,ArtistBio,ObjectID
Anni Albers,(American | born Germany. 1899–1994),3808
Darrell Landrum,(American | born 1924),3809
Danilo Aroldi | Corrado Aroldi,(Italian | born 1925) (Italian | born 1936),3810
Mario Bellini,(Italian | born 1935),3811
Saara Hopea,(Finnish | 1925–1984),3812
Anni Albers,(American | born Germany. 1899–1994),3814
Walter Von Nessen,(American | 1889–1943),3815
Mario Bellini,(Italian | born 1935),3816
Fulvio Bianconi,(Italian | 1915–1996),3817
Giulio Lazzotti,(Italian | born 1942),3818
Sheila Hicks,(American | born 1934),3819
Anni Albers,(American | born Germany. 1899–1994),3820
Walter Von Nessen,(American | 1889–1943),3821
Mario Bellini,(Italian | born 1935),3822
Gugelot Institute,(German),3823
Giulio Lazzotti,(Italian | born 1942),3824
Yoshiaki Iida,(Japanese | born 1947),3825
Associated Spring Raymond Barnes Group | Inc. | Dallas | TX,,3826
Anni Albers,(American | born Germany. 1899–1994),3827
Paul Mayen,(American | born Spain. 1918–2000),3828
Theodor Bogler,(German | 1897–1968),3829
Joe Colombo,(Italian | 1930–1971),3830
Giulio Lazzotti,(Italian | born 1942),3831
Intel Corporation | Santa Clara | CA,(American |established 1968),3832
Werner Aisslinger,(German | born 1964),3833
Compagnie des Cristalleries de Baccarat | Paris,(French | established 1765),3834
Max Bill,(Swiss | 1908–1994),3835
Theodor Bogler,(German | 1897–1968),3836
Dean L. Fisher | Hancock Laverne,(American | born 1923) (American | born 1926),3837
Giulio Lazzotti,(Italian | born 1942),3838
Sven-Eric Juhlin,(Swedish | born 1940),3839
Wendell Castle,(American | born 1932),3840
Compagnie des Cristalleries de Baccarat | Paris,(French | established 1765),3841
Gross Wood | Esther Wood,(American | born 1919) (American | born 1921),3842
Robert Oberheim,(German | born 1938),3843
Antoni Gaudí,(Spanish | 1852–1926),3844
Giulio Lazzotti,(Italian | born 1942),3845
Dietrich Lubs,(German | born 1938),3846
CSS/Winfield,,3847
Compagnie des Cristalleries de Baccarat | Paris,(French | established 1765),3848
Gross Wood | Esther Wood,(American | born 1919) (American | born 1921),3849
Dieter Rams,(German | born 1932),3850
Robert P. Gottlieb,(American | 1921–1977),3851
Hugo Leven,(German | 1874–1956),3852
Hugo Leven,(German | 1874–1956),3853
Hugo Leven,(German | 1874–1956),3854
Hugo Leven,(German | 1874–1956),3855
Lucie Rie,(British | born Austria. 1902–1995),3856
Tom Dixon,(British | born 1959),3857
Compagnie des Cristalleries de Baccarat | Paris,(French | established 1765),3858
Siemens & Halske A.G. | Munich,(German | established 1847),3859
Siemens & Halske A.G. | Munich,(German | established 1847),3860
Siemens & Halske A.G. | Munich,(German | established 1847),3861
Siemens & Halske A.G. | Munich,(German | established 1847),3862
Siemens & Halske A.G. | Munich,(German | established 1847),3863
Antonio Macchi Cassia,(Italian | born 1937),3864
Peter Hamburger | Ingo Maurer,(American | born 1941) (German | born 1932),3865
Davide Mercatali | Paolo Pedrizzetti,(Italian | born 1948) (Italian | born 1947),3866
Ettore Sottsass,(Italian | born Austria. 1917–2007),3867
Gebrüder Thonet | company design,(Austrian | established 1853),3868
Ezio Pirali,(Italian | born 1921),3869
Achille Castiglioni | Pier Giacomo Castiglioni,(Italian | 1918–2002) (Italian | 1913–1968),3870
Koloman Moser,(Austrian | 1868–1918),3872
Gunta Stölzl,(Swiss | born Germany. 1897–1983),3873
Josef Hoffmann,(Austrian | 1870–1956),3874
Arabia | Wärtsilä Ab | Helsinki | Finland,(Finnish | est. 1874),3875
Giuseppe de Goetzen,(Italian | born 1921),3876
Cesare Leonardi | Franca Stagi,(Italian | born 1935) (Italian | born 1937),3877
Arne Jacobsen,(Danish | 1902–1971),3878
Koloman Moser,(Austrian | 1868–1918),3879
Kaneko Orimono Co. | Ltd. | Gumma | Japan,,3880
Martin Freeman,(American),3881
Lucie Rie,(British | born Austria. 1902–1995),3882
Joe Colombo,(Italian | 1930–1971),3883
Karl Koepping,(German | 1848–1914),3884
Charles William Moss,(American | born 1923),3885
Michael Thonet,(Austrian | 1796–1871),3886
Frederick Kiesler,(American | born Austria-Hungary. 1890–1965),3887
Adolph Loos,(Austrian | 1870–1933),3888
Adolph Loos,(Austrian | 1870–1933),3889
Isamu Kenmochi,(Japanese | 1912–1971),3891
