Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155967
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155968
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155969
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155970
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155971
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155972
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155973
Destroy All Monsters Flyer,2009,Color photocopy,error,error,error,Acquired through the generosity of Richard J. Gerrig and Timothy Peterson,Print,Prints & Illustrated Books,2009,N,155974
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155983
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155984
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155985
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155986
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155987
Untitled from Berlin à fleur de peau,2010,One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic |  with nails,45,65,0.6,Fund for the Twenty-First Century,Print,Prints & Illustrated Books,2011,N,155988
