WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2
151,Korean,1,220,France,1,1,1,1951,7,27,1953,-8
151,Korean,1,640,Turkey,1,10,18,1950,7,27,1953,-8
151,Korean,1,840,Philippines,1,9,16,1950,7,27,1953,-8
151,Korean,1,800,Thailand,1,1,20,1951,7,27,1953,-8
151,Korean,1,731,North Korea,2,6,24,1950,7,27,1953,-8
151,Korean,1,530,Ethiopia,1,5,1,1951,7,27,1953,-8
151,Korean,1,900,Australia,1,12,10,1950,7,27,1953,-8
151,Korean,1,732,South Korea,1,6,24,1950,7,27,1953,-8
151,Korean,1,2,United States of America,1,6,27,1950,7,27,1953,-8
153,Off-shore Islands,1,710,China,1,9,3,1954,4,23,1955,-8
153,Off-shore Islands,1,713,Taiwan,2,9,3,1954,4,23,1955,-8
155,Sinai War,1,220,France,1,10,31,1956,11,6,1956,-8
155,Sinai War,1,666,Israel,1,10,29,1956,11,6,1956,-8
155,Sinai War,1,651,Egypt,2,10,29,1956,11,6,1956,-8
155,Sinai War,1,200,United Kingdom,1,10,31,1956,11,6,1956,-8
156,Soviet Invasion of Hungary,1,310,Hungary,2,11,4,1956,11,14,1956,-8
156,Soviet Invasion of Hungary,1,365,USSR,1,11,4,1956,11,14,1956,-8
158,IfniWar,1,220,France,1,2,10,1958,4,10,1958,-8
158,IfniWar,1,230,Spain,1,11,21,1957,4,10,1958,-8
158,IfniWar,1,600,Morocco,2,11,21,1957,4,10,1958,-8
159,Taiwan Straits,1,710,China (PRC),1,8,23,1958,11,23,1958,-8
159,Taiwan Straits,1,713,Taiwan (ROC),2,8,23,1958,11,23,1958,-8
160,Assam,1,750,India,2,10,20,1962,11,22,1962,-8
160,Assam,1,710,China (PRC),1,10,20,1962,11,22,1962,-8
163,"Vietnam War,Phase 2",1,2,United States of America,2,2,7,1965,1,27,1973
163,"Vietnam War,Phase 2",1,811,Cambodia,2,3,1,1970,4,17,1975
163,"Vietnam War,Phase 2",1,732,South Korea,2,5,1,1965,1,28,1973
163,"Vietnam War,Phase 2",1,840,Philippines,2,10,1,1966,1,28,1973
163,"Vietnam War,Phase 2",1,817,South Vietnam,2,2,7,1965,4,30,1975
163,"Vietnam War,Phase 2",1,816,Vietnam,1,2,7,1965,4,30,1975
163,"Vietnam War,Phase 2",1,800,Thailand,2,10,1,1967,1,28,1973
163,"Vietnam War,Phase 2",1,900,Australia,2,2,7,1965,12,20,1972
166,Second Kashmir,1,750,India,2,8,5,1965,9,23,1965,-8
166,Second Kashmir,1,770,Pakistan,1,8,5,1965,9,23,1965,-8
169,Six Day War,1,666,Israel,1,6,5,1967,6,10,1967,-8
169,Six Day War,1,651,Egypt,2,6,5,1967,6,10,1967,-8
169,Six Day War,1,663,Jordan,2,6,5,1967,6,10,1967,-8
169,Six Day War,1,652,Syria,2,6,5,1967,6,10,1967,-8
170,"Second Laotian,Phase 2",1,2,United States of America,2,1,13,1968,4,17,1973
170,"Second Laotian,Phase 2",1,800,Thailand,2,3,17,1970,4,17,1973
170,"Second Laotian,Phase 2",1,812,Laos,2,1,13,1968,4,17,1973
170,"Second Laotian,Phase 2",1,816,Vietnam,1,1,13,1968,4,17,1973
172,War of Attrition,1,651,Egypt,2,3,6,1969,8,7,1970,-8
172,War of Attrition,1,666,Israel,1,3,6,1969,8,7,1970,-8
175,Football War,1,91,Honduras,2,7,14,1969,7,18,1969,-8
175,Football War,1,92,El Salvador,1,7,14,1969,7,18,1969,-8
176,Communist Coalition,1,816,Vietnam,1,3,23,1970,7,2,1971,-8
176,Communist Coalition,1,2,United States of America,2,5,1,1970,7,2,1971,-8
176,Communist Coalition,1,811,Cambodia,2,3,23,1970,7,2,1971,-8
176,Communist Coalition,1,817,South Vietnam,2,5,1,1970,7,2,1971,-8
178,Bangladesh,1,750,India,1,12,3,1971,12,17,1971,-8
178,Bangladesh,1,770,Pakistan,2,12,3,1971,12,17,1971,-8
181,Yom Kippur War,1,651,Egypt,2,10,6,1973,10,24,1973,-8
181,Yom Kippur War,1,670,Saudi Arabia,2,10,10,1973,10,24,1973,-8
181,Yom Kippur War,1,666,Israel,1,10,6,1973,10,24,1973,-8
181,Yom Kippur War,1,663,Jordan,2,10,10,1973,10,24,1973,-8
181,Yom Kippur War,1,652,Syria,2,10,6,1973,10,24,1973,-8
181,Yom Kippur War,1,645,Iraq,2,10,6,1973,10,24,1973,-8
184,Turco-Cypriot,1,640,Turkey,1,7,20,1974,7,29,1974,8
